2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,1,1,1,2,2,3,3,3,2,2,10,10,10,2,2,2,2,2,2
2,1,2,1,2,2,3,2,3,2,2,10,2,10,2,2,2,2,2,2
2,1,1,1,2,2,3,3,3,2,2,10,10,10,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,22,22,22,2,2,2,2,2,23,23,23,2,2,2,2,2,2,2,2
2,22,2,2,22,2,2,2,2,2,23,2,23,2,2,2,2,2,2,2
2,22,22,22,2,2,2,2,2,23,23,23,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
